PCA 60 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.8398 | time= 91.9s
PCA 60 | wikiWork     | architecture=(784, 800) | Accuracy=0.9833 | time= 205.7s
PCA 70 | small        | architecture=(64,) | Accuracy=0.9751 | time= 12.8s
PCA 70 | medium       | architecture=(128,) | Accuracy=0.9799 | time= 19.1s
PCA 70 | wideShallow  | architecture=(256,) | Accuracy=0.9827 | time= 25.0s
PCA 70 | twoLayer     | architecture=(128, 64) | Accuracy=0.9761 | time= 19.0s
PCA 70 | mnistOptimal | architecture=(784,) | Accuracy=0.9842 | time= 46.9s
PCA 70 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9782 | time= 47.4s
PCA 70 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9704 | time= 56.9s
PCA 70 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9839 | time= 108.4s
PCA 70 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9847 | time= 123.0s
PCA 70 | wideDeep     | architecture=(256, 128) | Accuracy=0.9827 | time= 34.6s
PCA 70 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9815 | time= 107.5s
PCA 70 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.9808 | time= 235.3s
PCA 70 | wikiWork     | architecture=(784, 800) | Accuracy=0.9865 | time= 488.5s
PCA 80 | small        | architecture=(64,) | Accuracy=0.9749 | time= 8.8s
PCA 80 | medium       | architecture=(128,) | Accuracy=0.9780 | time= 16.3s
PCA 80 | wideShallow  | architecture=(256,) | Accuracy=0.9830 | time= 17.6s
PCA 80 | twoLayer     | architecture=(128, 64) | Accuracy=0.9785 | time= 20.9s
PCA 80 | mnistOptimal | architecture=(784,) | Accuracy=0.9849 | time= 29.8s
PCA 80 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9763 | time= 36.6s
PCA 80 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9712 | time= 37.9s
PCA 80 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9834 | time= 112.5s
PCA 80 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9816 | time= 80.9s
PCA 80 | wideDeep     | architecture=(256, 128) | Accuracy=0.9824 | time= 25.6s
PCA 80 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9826 | time= 87.0s
PCA 80 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.9758 | time= 194.5s
PCA 80 | wikiWork     | architecture=(784, 800) | Accuracy=0.9847 | time= 232.5s
PCA 90 | small        | architecture=(64,) | Accuracy=0.9738 | time= 9.0s
PCA 90 | medium       | architecture=(128,) | Accuracy=0.9803 | time= 18.6s
PCA 90 | wideShallow  | architecture=(256,) | Accuracy=0.9819 | time= 33.5s
PCA 90 | twoLayer     | architecture=(128, 64) | Accuracy=0.9782 | time= 17.4s
PCA 90 | mnistOptimal | architecture=(784,) | Accuracy=0.9837 | time= 30.8s
PCA 90 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9728 | time= 16.7s
PCA 90 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9720 | time= 30.1s
PCA 90 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9850 | time= 76.0s
PCA 90 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9821 | time= 102.5s
PCA 90 | wideDeep     | architecture=(256, 128) | Accuracy=0.9815 | time= 41.7s
PCA 90 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9802 | time= 63.8s
PCA 90 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.9774 | time= 197.0s
PCA 90 | wikiWork     | architecture=(784, 800) | Accuracy=0.9853 | time= 309.4s
PCA 100 | small        | architecture=(64,) | Accuracy=0.9764 | time= 11.0s
PCA 100 | medium       | architecture=(128,) | Accuracy=0.9784 | time= 19.4s
PCA 100 | wideShallow  | architecture=(256,) | Accuracy=0.9807 | time= 18.1s
PCA 100 | twoLayer     | architecture=(128, 64) | Accuracy=0.9806 | time= 27.0s
PCA 100 | mnistOptimal | architecture=(784,) | Accuracy=0.9838 | time= 76.0s
PCA 100 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9763 | time= 30.9s
PCA 100 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9725 | time= 28.1s
PCA 100 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9839 | time= 87.5s
PCA 100 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9799 | time= 50.3s
PCA 100 | wideDeep     | architecture=(256, 128) | Accuracy=0.9793 | time= 17.0s
PCA 100 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9822 | time= 210.6s
PCA 100 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.9747 | time= 217.5s
PCA 100 | wikiWork     | architecture=(784, 800) | Accuracy=0.9846 | time= 250.8s
PCA 200 | small        | architecture=(64,) | Accuracy=0.9715 | time= 10.7s
PCA 200 | medium       | architecture=(128,) | Accuracy=0.9765 | time= 15.3s
PCA 200 | wideShallow  | architecture=(256,) | Accuracy=0.9798 | time= 29.1s
PCA 200 | twoLayer     | architecture=(128, 64) | Accuracy=0.9741 | time= 20.2s
PCA 200 | mnistOptimal | architecture=(784,) | Accuracy=0.9831 | time= 137.3s
PCA 200 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9749 | time= 34.1s
PCA 200 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9659 | time= 32.0s
PCA 200 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9826 | time= 88.0s
PCA 200 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9763 | time= 51.2s
PCA 200 | wideDeep     | architecture=(256, 128) | Accuracy=0.9796 | time= 38.6s
PCA 200 | shallowTaper | architecture=(512, 256, 128, 64) | Accuracy=0.9803 | time= 104.9s
PCA 200 | deepTaper    | architecture=(512, 256, 128, 64, 32, 16, 8, 4, 2) | Accuracy=0.9695 | time= 155.5s
PCA 200 | wikiWork     | architecture=(784, 800) | Accuracy=0.9788 | time= 170.2s
PCA 300 | small        | architecture=(64,) | Accuracy=0.9705 | time= 10.5s
PCA 300 | medium       | architecture=(128,) | Accuracy=0.9770 | time= 31.7s
PCA 300 | wideShallow  | architecture=(256,) | Accuracy=0.9796 | time= 49.6s
PCA 300 | twoLayer     | architecture=(128, 64) | Accuracy=0.9745 | time= 28.6s
PCA 300 | mnistOptimal | architecture=(784,) | Accuracy=0.9820 | time= 184.4s
PCA 300 | deep         | architecture=(128, 64, 64, 64) | Accuracy=0.9739 | time= 28.7s
PCA 300 | deeper       | architecture=(64, 64, 64, 64, 64, 64, 64) | Accuracy=0.9647 | time= 22.9s
PCA 300 | twoLayerBottleNeck | architecture=(512, 256) | Accuracy=0.9810 | time= 189.2s
PCA 300 | threeLayerBottleNeck | architecture=(512, 256, 128) | Accuracy=0.9779 | time= 67.0s
PCA 300 | wideDeep     | architecture=(256, 128) | Accuracy=0.9785 | time= 30.2s
